證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"2312","金寶","20,084,877","252,483,509","12.90","13.00","12.30","12.45","-0.35","6,816"
"2313","華通","25,029,901","917,006,673","37.00","37.30","36.20","36.45","-0.20","9,952"
"2314","台揚","7,705,051","160,923,521","20.45","21.00","20.40","21.00","+1.90","2,190"
"2316","楠梓電","2,554,378","76,634,546","30.00","30.25","29.85","29.90","-0.10","1,123"
"2317","鴻海","22,472,772","1,686,693,617","75.10","75.40","74.80","75.20","+0.30","9,829"
"2321","東訊","17,000","23,630","1.39","1.39","1.39","1.39","-0.01","8"
"2323","中環","6,621,637","50,854,679","7.76","7.78","7.61","7.65","-0.03","1,777"
"2324","仁寶","14,826,932","281,034,958","19.00","19.05","18.80","18.95","+0.05","4,422"
"2327","國巨","43,220,251","16,799,050,635","384.00","401.00","381.00","383.50","+4.00","32,126"
"2328","廣宇","3,215,923","60,396,480","18.60","19.00","18.50","18.85","+0.35","1,388"
"2329","華泰","3,830,920","45,832,343","12.00","12.15","11.85","11.90","-0.10","1,048"
"2330","台積電","37,621,165","11,134,919,970","298.50","298.50","294.50","296.50","-1.50","18,214"
"2331","精英","391,568","4,047,398","10.50","10.50","10.20","10.35","+0.05","174"
"2332","友訊","6,467,491","79,625,210","12.30","12.55","12.05","12.05","-0.15","1,892"
"2337","旺宏","65,579,485","2,265,037,233","35.20","35.25","34.05","34.50","-0.60","27,475"
"2338","光罩","7,037,741","203,245,739","28.85","29.25","28.35","29.00","+0.30","3,155"
